gene,disease
SUZ12,glioma
TRIM29,glioma
FTH1,glioma
POT1,glioma
GDNF,glioma
GSTP1,glioma
H3-3A,glioma
HLA-A,glioma
HLA-B,glioma
HLA-C,glioma
HRAS,glioma
APOD,glioma
IL12A,glioma
IL12B,glioma
STMN1,glioma
MDK,glioma
MGMT,glioma
MYB,glioma
MYBL1,glioma
MYLK,glioma
NF1,glioma
ATP1B2,glioma
NTRK1,glioma
NTRK2,glioma
NTRK3,glioma
RTEL1,glioma
PLK1,glioma
ATRX,glioma
XAF1,glioma
FBXW7,glioma
PTEN,glioma
RAF1,glioma
ROS1,glioma
BMI1,glioma
SLC5A5,glioma
SOD1,glioma
SPP1,glioma
BRAF,glioma
BRCA2,glioma
TERT,glioma
TFRC,glioma
TNF,glioma
TOP2A,glioma
XBP1,glioma
XRCC1,glioma
HMGN5,glioma
H3C2,glioma
CAT,glioma
PPM1D,glioma
TNFSF10,glioma
ACVR1,glioma
QKI,glioma
BRAF,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
DTX1,glioma
HEY1,glioma
POT1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
FAM107A,glioma
CLCN2,glioma
CLCN3,glioma
CLCN5,glioma
CCR4,glioma
CCDC26,glioma
DMXL1,glioma
PHLDB1,glioma
PSD3,glioma
SUZ12,glioma
TRIM29,glioma
FTH1,glioma
POT1,glioma
GSTP1,glioma
HLA-B,glioma
HLA-C,glioma
APOD,glioma
IL12A,glioma
IL12B,glioma
MYB,glioma
MYBL1,glioma
MYLK,glioma
NF1,glioma
NTRK2,glioma
XAF1,glioma
FBXW7,glioma
BMI1,glioma
BRCA2,glioma
TFRC,glioma
TOP2A,glioma
XBP1,glioma
XRCC1,glioma
HMGN5,glioma
H3C2,glioma
QKI,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
IDH1,glioma
IDH2,glioma
TP73-AS1,glioma
DTX1,glioma
HEY1,glioma
GDNF,glioma
HES1,glioma
TP73-AS1,glioma
MERTK,glioma
EGLN2,glioma
EPAS1,glioma
FH,glioma
KIF1B,glioma
GDNF,glioma
MDH2,glioma
MEN1,glioma
MET,glioma
MITF,glioma
NF1,glioma
EGLN1,glioma
RET,glioma
VHL,glioma
KMT2D,glioma
BAP1,glioma
TMEM127,glioma
TP53,glioma
VHL,glioma
SDHC,glioma
H3-3A,glioma
IDH2,glioma
LZTR1,glioma
H3C1,glioma
HLA-DQB1,glioma
HLA-DRB1,glioma
RHBDF2,esophageal cancer
MSH2,cancer
MLH1,cancer
BRCA1,cancer
BRCA2,cancer
MSH6,cancer
PMS2,cancer
CDH1,cancer
FH,cancer
RHBDF2,cancer
MLH1,cancer
AXIN2,cancer
PALB2,cancer
MLH3,cancer
EPCAM,cancer
MSH6,cancer
GALNT12,cancer
PMS2,cancer
BRCA2,cancer
BRCA1,cancer
EPCAM,cancer
RNASEL,cancer
RAD51C,cancer
ATR,cancer
FOXE1,cancer
TGFBR2,cancer
CDKN2A,cancer
MLH3,cancer
TGFBR2,cancer
POLD1,cancer
HOXB13,cancer
ELAC2,cancer
MSH2,cancer
RAD51D,cancer
POLE,cancer
HABP2,cancer
SRGAP1,cancer
MINPP1,cancer
MSR1,cancer
FGFR3,cancer
XRCC2,cancer
HMGA1,cancer
MSH6,cancer
CHEK2,cancer
RAD51D,cancer
RAD51C,cancer
TP53,cancer
FAN1,cancer
MLH3,cancer
MSH2,cancer
PMS2,cancer
FAN1,cancer
IL1RN,cancer
HLA-DPB1,cancer
STK11,cancer
NKX2-1,cancer
CHEK2,cancer
PALB2,cancer
RAD51D,cancer
BRIP1,cancer
CDKN2A,cancer
PTGS2,cancer
CHEK2,cancer
ATM,cancer
BRCA1,cancer
BRCA2,cancer
MRE11,cancer
NBN,cancer
BARD1,cancer
APC,cancer
KRAS,cancer
PMS1,cancer
KRAS,cancer
EPHB2,cancer
HOXB13,cancer
MSMB,cancer
EHBP1,cancer
BRCA2,cancer
PALB2,cancer
BRCA1,cancer
ELAC2,cancer
HOTAIR,cancer
CTNNB1,cancer
EGFR,cancer
HLA-DPB2,cancer
MTHFR,cancer
CCND1,cancer
STAT3,cancer
TERT,cancer
VEGFA,cancer
HRAS,cancer
NRAS,cancer
PTEN,cancer
RNF43,cancer
RNASEL,cancer
MSH3,cancer
BRCA2,cancer
NOTCH1,cancer
TP53,cancer
BRCA1,cancer
HRAS,cancer
VEGFA,cancer
BARD1,cancer
APC,cancer
EXO1,cancer
MYC,cancer
CASP8,cancer
TP63,cancer
RAD50,cancer
NBN,cancer
PALB2,cancer
CTNNA1,cancer
PPARG,cancer
PAX8,cancer
ERCC1,cancer
MTOR,cancer
RARB,cancer
AKT1,cancer
MUC1,cancer
CCND1,cancer
SLX4,cancer
CTNNB1,cancer
PTEN,cancer
TP53,cancer
CHEK2,cancer
ATM,cancer
CDKN1B,cancer
JAK2,cancer
IL6,cancer
MGMT,cancer
STAT3,cancer
CDH1,cancer
BARD1,cancer
EGFR,cancer
MMP2,cancer
CHEK1,cancer
MLH1,cancer
MRE11,cancer
MUTYH,cancer
RAD51C,cancer
RECQL,cancer
POU5F1,cancer
TP53,cancer
PIK3CA,cancer
CDH1,cancer
APC,cancer
MUTYH,cancer
MSMB,cancer
RPS20,cancer
MIR543,cancer
ZNF667-AS1,cancer
POU4F1,cancer
YY1,cancer
APOBEC3B,cancer
EGF,cancer
FOXM1,cancer
ABL1,cancer
IGF2,cancer
ARG1,cancer
MDM2,cancer
MPO,cancer
MIR196B,cancer
PRKAA1,cancer
PSCA,cancer
CAT,cancer
MSH6,cancer
MSH2,cancer
MCPH1,cancer
PPM1D,cancer
CDH1,cancer
CDKN1A,cancer
BAX,cancer
KITLG,cancer
NANOG,cancer
CTNNB1,cancer
TP53,cancer
CHEK2,cancer
EGFR,cancer
MYC,cancer
MAP3K6,cancer
EPHB2,cancer
NBN,cancer
SRD5A2,cancer
CDH1,cancer
BRAF,cancer
SEMA4A,cancer
BMPR1A,cancer
PIAS3,cancer
MIR501,cancer
WNT2,cancer
WNT5A,cancer
CLPTM1L,cancer
BRAF,cancer
TNK2,cancer
CDX2,cancer
CEBPA,cancer
CFL1,cancer
YIF1A,cancer
UQCR11,cancer
CHN2,cancer
SLC52A3,cancer
CISH,cancer
TMEM132D,cancer
SOCS4,cancer
CPS1,cancer
SIRPA,cancer
TTLL9,cancer
PRICKLE2,cancer
HIGD2A,cancer
EFNB2,cancer
EIF4EBP1,cancer
ALDH2,cancer
SULF1,cancer
WSCD1,cancer
EXOSC2,cancer
FTH1,cancer
COG4,cancer
ZBTB20,cancer
GJB1,cancer
GSTA4,cancer
GSTP1,cancer
HADH,cancer
ANXA4,cancer
ZBTB8OS,cancer
IGFBP1,cancer
IRS1,cancer
KRT8,cancer
MIRLET7B,cancer
MIRLET7D,cancer
MIR125A,cancer
MIR145,cancer
MIR200B,cancer
MIR211,cancer
MIR212,cancer
MIR26B,cancer
MIR30A,cancer
MIR30D,cancer
MIR98,cancer
MIR99B,cancer
MIR324,cancer
MIR331,cancer
MIR338,cancer
MIR340,cancer
PEBP1,cancer
PRDX1,cancer
ATP5F1B,cancer
NOP16,cancer
ERGIC3,cancer
PHB,cancer
PIM1,cancer
TRIT1,cancer
PRKG1,cancer
MAPK8,cancer
MAPK9,cancer
MAP2K7,cancer
MIR409,cancer
DPP10,cancer
BCAT2,cancer
MIR483,cancer
SERPINB3,cancer
PBLD,cancer
SIX3,cancer
SOD2,cancer
STAT5A,cancer
MIR92B,cancer
ACTC1,cancer
TPM4,cancer
TRIO,cancer
MIR652,cancer
TSC2,cancer
MAGED4,cancer
DDX54,cancer
CCDC134,cancer
IFT88,cancer
PSD2,cancer
AOPEP,cancer
ALDH4A1,cancer
COL23A1,cancer
GSTO1,cancer
ACY1,cancer
NR1I3,cancer
CDKN1B,cancer
CSF3,cancer
HOXB9,cancer
INHBA,cancer
KRAS,cancer
SMAD3,cancer
BAP1,cancer
PROM1,cancer
WIF1,cancer
CYP2A6,cancer
EDNRA,cancer
MECOM,cancer
NFKBIA,cancer
TNFRSF19,cancer
RASSF2,cancer
CSF2,cancer
IL2,cancer
KLLN,cancer
GEN1,cancer
EPCAM,cancer
SLC22A18,cancer
PIK3CA,cancer
PMS2,cancer
RINT1,cancer
RAD54L,cancer
CDKN1B,cancer
KCNQ1,cancer
MUC2,cancer
PRKCA,cancer
PRKCD,cancer
BCL2,cancer
XPA,cancer
NR1H4,cancer
RAD50,cancer
RAD51,cancer
DMRT1,cancer
PHC1,cancer
ERCC1,cancer
ERCC4,cancer
DPPA3,cancer
ATF7IP,cancer
SCNN1A,cancer
SLC2A3,cancer
BUB1B,cancer
CD9,cancer
TRIP13,cancer
GDF3,cancer
CEBPA,cancer
CSF3,cancer
DPYD,cancer
EGFR,cancer
FAT1,cancer
PRAME,cancer
GPX1,cancer
GRP,cancer
AREG,cancer
MAL,cancer
MAPK1,cancer
MAPK3,cancer
RAD51,cancer
RARB,cancer
BCL2,cancer
BCL2L1,cancer
STAT6,cancer
TGFA,cancer
TYMS,cancer
UROD,cancer
VEGFA,cancer
XRCC3,cancer
BAP1,cancer
TP63,cancer
APOBEC3B,cancer
CDKN2A,cancer
GNAS,cancer
GNRH1,cancer
GNRHR,cancer
PRKACA,cancer
PTGS2,cancer
RB1,cancer
TSHR,cancer
CDC42,cancer
ELF3,cancer
PRKACB,cancer
GHSR,cancer
TYMS,cancer
CEBPA,cancer
CSF3,cancer
DPYD,cancer
EGFR,cancer
FAT1,cancer
PRAME,cancer
GPX1,cancer
GRP,cancer
AREG,cancer
MAL,cancer
MAPK1,cancer
MAPK3,cancer
RAD51,cancer
RARB,cancer
BCL2,cancer
BCL2L1,cancer
STAT6,cancer
TGFA,cancer
TYMS,cancer
UROD,cancer
VEGFA,cancer
XRCC3,cancer
BAP1,cancer
APOBEC3B,cancer
DMRT1,cancer
PHC1,cancer
ERCC1,cancer
ERCC4,cancer
DPPA3,cancer
KITLG,cancer
POU5F1,cancer
ATF7IP,cancer
SCNN1A,cancer
SLC2A3,cancer
BUB1B,cancer
NANOG,cancer
CD9,cancer
TRIP13,cancer
GDF3,cancer
DMRT1,cancer
PHC1,cancer
ERCC1,cancer
ERCC4,cancer
DPPA3,cancer
KITLG,cancer
POU5F1,cancer
ATF7IP,cancer
SCNN1A,cancer
SLC2A3,cancer
BUB1B,cancer
NANOG,cancer
CD9,cancer
TRIP13,cancer
GDF3,cancer
CEBPA,cancer
CD274,cancer
MMP2,cancer
CDKN2A,cancer
WNT7A,cancer
FHIT,cancer
OGG1,cancer
WWOX,cancer
ATR,cancer
CCND1,cancer
SULT1A1,cancer
VEGFA,cancer
PMS2,cancer
CDKN1B,cancer
CHEK2,cancer
CTNNA1,cancer
EPHX1,cancer
KRAS,cancer
EPCAM,cancer
MLH1,cancer
MSH3,cancer
ATM,cancer
PIK3CA,cancer
PMS1,cancer
PTPRJ,cancer
BARD1,cancer
RPS20,cancer
SEMA4A,cancer
NFKBIZ,cancer
SMARCA4,cancer
TGFBR2,cancer
XRCC4,cancer
PALB2,cancer
EXO1,cancer
CDH1,cancer
CDKN1B,cancer
CTNNA1,cancer
EPHX1,cancer
PTPRJ,cancer
BARD1,cancer
RPS20,cancer
SEMA4A,cancer
NFKBIZ,cancer
SMARCA4,cancer
XRCC4,cancer
CD44,cancer
CDKN1B,cancer
CHEK2,cancer
CTNNA1,cancer
EPHX1,cancer
FAN1,cancer
MLH3,cancer
MSH3,cancer
ATM,cancer
PTPRJ,cancer
BARD1,cancer
RPS20,cancer
SEMA4A,cancer
NFKBIZ,cancer
SMARCA4,cancer
XRCC4,cancer
PALB2,cancer
EXO1,cancer
CDH1,cancer
CMKLR1,cancer
DICER1,cancer
LEPR,cancer
RARRES2,cancer
FOXL2,cancer
CDH2,cancer
HOTAIR,cancer
ZNF667-AS1,cancer
CCAT1,cancer
TRAP1,cancer
EBI3,cancer
CDK4,cancer
MSLN,cancer
CDKN1A,cancer
CDKN1B,cancer
CDKN2A,cancer
CDKN2D,cancer
CNPY2,cancer
DLC1,cancer
FST,cancer
NOP56,cancer
ARL6IP5,cancer
CCT7,cancer
CTSC,cancer
WIF1,cancer
CKB,cancer
LRRC3B,cancer
CLCN3,cancer
CLN3,cancer
PLIN2,cancer
MBD3L2,cancer
DCBLD2,cancer
KLF6,cancer
CLDN3,cancer
CST1,cancer
CTNNA2,cancer
CTSL,cancer
ADRB1,cancer
ADRB2,cancer
CYP2A6,cancer
ACE,cancer
DDB1,cancer
GADD45A,cancer
DES,cancer
AFP,cancer
DNMT1,cancer
DNMT3B,cancer
DPAGT1,cancer
DPYD,cancer
HBEGF,cancer
AGTR2,cancer
TYMP,cancer
ECHS1,cancer
ECM1,cancer
EEF1A1,cancer
EEF1A2,cancer
AHR,cancer
ENO1,cancer
ERBB2,cancer
ERCC1,cancer
ERCC2,cancer
ALB,cancer
F2R,cancer
ALDH1A3,cancer
FBP1,cancer
FGFR2,cancer
FGG,cancer
FHIT,cancer
FKBP2,cancer
ALDOB,cancer
FAM168A,cancer
BOP1,cancer
ALOX5,cancer
ATP6V0D2,cancer
GAST,cancer
FYN,cancer
PRDX5,cancer
SERBP1,cancer
ZBTB20,cancer
GREM1,cancer
ACAD8,cancer
SNX5,cancer
FILIP1,cancer
PRPF19,cancer
GLI3,cancer
MRPS18B,cancer
MRPL13,cancer
PYCARD,cancer
GSTP1,cancer
ABT1,cancer
CPSF1,cancer
ANXA5,cancer
ZNRD1,cancer
HMOX1,cancer
HNRNPL,cancer
HOXA2,cancer
HRAS,cancer
APEX1,cancer
BIRC2,cancer
HSPA8,cancer
HSPB1,cancer
BIRC5,cancer
HSPD1,cancer
APOA1,cancer
HTR1A,cancer
ICAM2,cancer
ID4,cancer
IDH3B,cancer
IGFBP3,cancer
IGFBP7,cancer
IL1B,cancer
IL6,cancer
IL6R,cancer
CXCL8,cancer
TNFRSF9,cancer
ING1,cancer
IRF1,cancer
ITGA5,cancer
JUN,cancer
AREG,cancer
KISS1,cancer
KRT8,cancer
RHOA,cancer
LGALS3,cancer
FADS1,cancer
M6PR,cancer
SMAD4,cancer
MARK1,cancer
MET,cancer
MLF1,cancer
KMT2A,cancer
MMP7,cancer
MMP10,cancer
MSX1,cancer
MT2A,cancer
MTHFR,cancer
MUC1,cancer
MUC6,cancer
MX1,cancer
NDUFA2,cancer
NDUFS1,cancer
ATM,cancer
NDUFV1,cancer
NOS3,cancer
NOTCH2,cancer
NPM1,cancer
NT5E,cancer
ALDH7A1,cancer
PA2G4,cancer
SERPINE1,cancer
SERPINB2,cancer
PAX6,cancer
COPS7A,cancer
UBXN1,cancer
ZNF593,cancer
PLCE1,cancer
GMPR2,cancer
HIKESHI,cancer
NBAS,cancer
PDHA1,cancer
POLR3K,cancer
WWOX,cancer
PGAM1,cancer
PHB,cancer
SERPINA1,cancer
PIK3CA,cancer
PLAGL1,cancer
PLAU,cancer
PTOV1,cancer
KRT20,cancer
PPARG,cancer
XAF1,cancer
PPIA,cancer
PPIC,cancer
RNF43,cancer
PPP2R1A,cancer
PTPA,cancer
PRR5-ARHGAP8,cancer
PREP,cancer
PRKAA1,cancer
PRKAB1,cancer
NAXD,cancer
CHFR,cancer
PRKCB,cancer
MAPK1,cancer
MAPK3,cancer
MAPK8,cancer
PRNP,cancer
GKN1,cancer
KLK10,cancer
EXOSC5,cancer
PTGS2,cancer
RANBP10,cancer
PTPRF,cancer
PTPRG,cancer
KMT2C,cancer
RAD23A,cancer
RARB,cancer
RARRES1,cancer
HRH4,cancer
RBP1,cancer
CCND1,cancer
RBP4,cancer
BCL2L1,cancer
RGS2,cancer
RORA,cancer
RPL13,cancer
RPL15,cancer
RPL18,cancer
RPS6,cancer
RPS15,cancer
RPS19,cancer
RPS21,cancer
RPS26,cancer
RXRB,cancer
BDNF,cancer
BID,cancer
BLVRB,cancer
MRPS11,cancer
BMP2,cancer
SLC1A2,cancer
BMP7,cancer
SNAI1,cancer
SNRPB,cancer
BNIP3,cancer
SOD2,cancer
SPRR2A,cancer
SREBF2,cancer
STAT3,cancer
TBX3,cancer
ACTC1,cancer
TFAP2C,cancer
TGFA,cancer
THBD,cancer
TIMP3,cancer
TNF,cancer
TPM3,cancer
TWIST1,cancer
TYMS,cancer
UMPS,cancer
XRCC1,cancer
XRCC3,cancer
CA1,cancer
CA2,cancer
ZNF177,cancer
FSD1,cancer
FAT4,cancer
EPHX3,cancer
PSCA,cancer
PUS1,cancer
ULBP2,cancer
TAF15,cancer
URM1,cancer
SYMPK,cancer
MIA,cancer
ARID1A,cancer
BAP1,cancer
REG4,cancer
CASP8,cancer
CASP10,cancer
ARFGAP2,cancer
ZNF559,cancer
KISS1R,cancer
SPZ1,cancer
TUBA1C,cancer
MIR22HG,cancer
ITGA8,cancer
CST7,cancer
CAV1,cancer
PLPP1,cancer
RUNX3,cancer
AKR1C3,cancer
IRS2,cancer
TNFSF9,cancer
SUCLG1,cancer
FCGBP,cancer
SELENBP1,cancer
ZNF160,cancer
SLC16A3,cancer
RRP9,cancer
AURKB,cancer
IL32,cancer
WDR46,cancer
CD44,cancer
TMEM63A,cancer
MTSS1,cancer
SCRN1,cancer
BRCA2,cancer
BRCA2,cancer
BRCA1,cancer
BRCA1,cancer
GREM1,cancer
BMPR1A,cancer
GREM1,cancer
BMPR1A,cancer
AHR,cancer
CGA,cancer
HRAS,cancer
NRAS,cancer
SRGAP1,cancer
MINPP1,cancer
BCL2L11,cancer
THEG5,cancer
TSHZ1,cancer
RNU6-148P,cancer
RNU6-491P,cancer
RN7SKP114,cancer
RNU6-456P,cancer
CHD3,cancer
DNMT3B,cancer
DOCK2,cancer
TOR1A,cancer
MECOM,cancer
KDM2A,cancer
LARP4B,cancer
TTC28,cancer
B3GAT1,cancer
RASSF3,cancer
HLA-DOA,cancer
DUBR,cancer
INCENP,cancer
ITGB8,cancer
OACYLP,cancer
ARHGAP6,cancer
MBNL1,cancer
MMP14,cancer
MYO9B,cancer
ATM,cancer
PAX9,cancer
POU2F2,cancer
HAUS6,cancer
UHRF1BP1,cancer
RNF43,cancer
RNLS,cancer
MAP2K1,cancer
EMSY,cancer
KNL1,cancer
FBRSL1,cancer
BCL2,cancer
PKNOX2,cancer
RFX7,cancer
TCF4,cancer
HNF1B,cancer
TCF7L2,cancer
MEIS1-AS3,cancer
SUGCT,cancer
ATAT1,cancer
MOB2,cancer
MAD1L1,cancer
CDCA7,cancer
CASP8,cancer
PPFIBP2,cancer
BCAS1,cancer
MBD2,cancer
COL23A1,cancer
ADGRG1,cancer
DENND4B,cancer
EPCAM,cancer
MSH2,cancer
PMS1,cancer
CDKN1B,cancer
CHEK2,cancer
CTNNA1,cancer
EPHX1,cancer
FAN1,cancer
MLH3,cancer
MSH3,cancer
ATM,cancer
PTPRJ,cancer
BARD1,cancer
RPS20,cancer
SEMA4A,cancer
NFKBIZ,cancer
SMARCA4,cancer
XRCC4,cancer
PALB2,cancer
EXO1,cancer
CDH1,cancer
MSH5,cancer
MIR300,cancer
MIR543,cancer
MIR889,cancer
MIR1247,cancer
MIR1197,cancer
MIR1193,cancer
DIO3,cancer
DYNC1H1,cancer
MIR127,cancer
MIR134,cancer
MIR136,cancer
MIR154,cancer
MIR299,cancer
MIR323A,cancer
MIR337,cancer
MIR376C,cancer
MIR369,cancer
MIR370,cancer
MIR376A1,cancer
MIR377,cancer
MIR379,cancer
MIR380,cancer
MIR381,cancer
MIR382,cancer
PPP2R5C,cancer
MIR433,cancer
MIR431,cancer
MIR329-1,cancer
MIR323B,cancer
MIR409,cancer
MIR412,cancer
MIR410,cancer
MIR376B,cancer
MIR485,cancer
MIR493,cancer
MIR432,cancer
MIR494,cancer
MIR495,cancer
MIR496,cancer
BEGAIN,cancer
RET,cancer
MIR487A,cancer
DIO3OS,cancer
SNAI2,cancer
SNAI1,cancer
MIR539,cancer
MIR376A2,cancer
MIR487B,cancer
MIR411,cancer
ZEB1,cancer
NKX2-1,cancer
MIR654,cancer
MIR655,cancer
MIR656,cancer
WARS1,cancer
MIR758,cancer
MIR770,cancer
CCDC6,cancer
WDR20,cancer
ZEB2,cancer
ZNF367,cancer
KDM1A,cancer
AR,cancer
CD46,cancer
ASF1B,cancer
CENPK,cancer
ZNF217,cancer
AKR1C3,cancer
TRIM24,cancer
CYLD,cancer
HES1,cancer
BIRC5,cancer
NOTCH2,cancer
BCL2L11,cancer
THEG5,cancer
TSHZ1,cancer
CDKN1B,cancer
HOXB13,cancer
RNU6-148P,cancer
RNU6-491P,cancer
RN7SKP114,cancer
RNU6-456P,cancer
CHD3,cancer
CHEK2,cancer
DNMT3B,cancer
DOCK2,cancer
TOR1A,cancer
MECOM,cancer
KDM2A,cancer
LARP4B,cancer
TTC28,cancer
B3GAT1,cancer
RASSF3,cancer
HLA-DOA,cancer
DUBR,cancer
INCENP,cancer
ITGB8,cancer
OACYLP,cancer
ARHGAP6,cancer
MBNL1,cancer
MMP14,cancer
MYO9B,cancer
ATM,cancer
PAX9,cancer
POU2F2,cancer
HAUS6,cancer
UHRF1BP1,cancer
RNF43,cancer
RNLS,cancer
MAP2K1,cancer
EMSY,cancer
KNL1,cancer
FBRSL1,cancer
BCL2,cancer
PKNOX2,cancer
RFX7,cancer
TCF4,cancer
TCF7L2,cancer
MEIS1-AS3,cancer
SUGCT,cancer
ATAT1,cancer
MOB2,cancer
MAD1L1,cancer
CDCA7,cancer
CASP8,cancer
PPFIBP2,cancer
BCAS1,cancer
MBD2,cancer
COL23A1,cancer
ADGRG1,cancer
DENND4B,cancer
CDH1,cancer
MSH6,cancer
MEN1,cancer
MSH2,cancer
BRCA1,cancer
BRCA2,cancer
TP53,breast carcinoma
CHEK2,breast carcinoma
AKT1,breast carcinoma
ESR1,breast carcinoma
KRAS,breast carcinoma
PIK3CA,breast carcinoma
PTEN,breast carcinoma
BRCA1,breast carcinoma
BRCA2,breast carcinoma
PALB2,breast carcinoma
BRIP1,breast carcinoma
CASP8,breast carcinoma
NOTCH2,breast carcinoma
CDKN1B,breast carcinoma
EP300,breast carcinoma
ERBB2,breast carcinoma
AKT2,breast carcinoma
FGF3,breast carcinoma
FGF4,breast carcinoma
FGFR1,breast carcinoma
FOXA1,breast carcinoma
HRAS,breast carcinoma
MMP1,breast carcinoma
NOTCH1,breast carcinoma
RB1,breast carcinoma
TBX3,breast carcinoma
BAP1,breast carcinoma
ZNF366,breast carcinoma
PDPK1,breast carcinoma
NCOR1,breast carcinoma
CDKN2A,breast carcinoma
CTNNB1,breast carcinoma
ERBB4,breast carcinoma
FGFR2,breast carcinoma
ZNF365,breast carcinoma
PHGDH,breast carcinoma
TOX3,breast carcinoma
KRT8,breast carcinoma
LSP1,breast carcinoma
MDM2,breast carcinoma
MDM4,breast carcinoma
MAP3K1,breast carcinoma
ATM,breast carcinoma
PHB,breast carcinoma
BARD1,breast carcinoma
RAD51,breast carcinoma
RAD51C,breast carcinoma
RAD51B,breast carcinoma
CCND1,breast carcinoma
XRCC3,breast carcinoma
FTO,breast carcinoma
PPM1D,breast carcinoma
NCOA1,breast carcinoma
CDH1,breast carcinoma
HMMR,breast carcinoma
RNF115,breast carcinoma
H19,breast carcinoma
LGR6,breast carcinoma
PRC1,breast carcinoma
RB1CC1,breast carcinoma
KCNH1,breast carcinoma
SLC22A18,breast carcinoma
NRIP1,breast carcinoma
FGF10,breast carcinoma
STXBP4,breast carcinoma
NQO2,breast carcinoma
EXO1,breast carcinoma
DAP3,breast carcinoma
ATG10,breast carcinoma
RAD54L,breast carcinoma
FLACC1,breast carcinoma
PTPRD,breast carcinoma
ZC3H11A,breast carcinoma
NAT2,breast carcinoma
ADAM10,breast carcinoma
NDRG1,breast carcinoma
YAP1,breast carcinoma
HOXB13,breast carcinoma
AGR2,breast carcinoma
HPSE,breast carcinoma
IL24,breast carcinoma
UBE2C,breast carcinoma
CHEK1,breast carcinoma
COMT,breast carcinoma
CLDN4,breast carcinoma
PARP1,breast carcinoma
CSF1,breast carcinoma
CSF1R,breast carcinoma
CSF2,breast carcinoma
CSF3,breast carcinoma
CST6,breast carcinoma
CYP1A1,breast carcinoma
CYP1B1,breast carcinoma
CYP2D6,breast carcinoma
CYP3A4,breast carcinoma
CYP17A1,breast carcinoma
CYP19A1,breast carcinoma
CYP24A1,breast carcinoma
NQO1,breast carcinoma
DNMT1,breast carcinoma
DNMT3A,breast carcinoma
DNMT3B,breast carcinoma
JAG1,breast carcinoma
E2F1,breast carcinoma
EGF,breast carcinoma
EGFR,breast carcinoma
AHR,breast carcinoma
EPHB4,breast carcinoma
ERBB3,breast carcinoma
ESR2,breast carcinoma
ESRRA,breast carcinoma
ETS2,breast carcinoma
ETV4,breast carcinoma
EZH2,breast carcinoma
F3,breast carcinoma
FASN,breast carcinoma
DKK1,breast carcinoma
FOXM1,breast carcinoma
FLT1,breast carcinoma
FN1,breast carcinoma
SIRT1,breast carcinoma
FOS,breast carcinoma
MTOR,breast carcinoma
ABL1,breast carcinoma
SLC39A6,breast carcinoma
SETBP1,breast carcinoma
GATA3,breast carcinoma
GJA1,breast carcinoma
GPI,breast carcinoma
GPER1,breast carcinoma
GPX1,breast carcinoma
GRB7,breast carcinoma
SETD2,breast carcinoma
GSTP1,breast carcinoma
H2AX,breast carcinoma
NRG1,breast carcinoma
HIC1,breast carcinoma
HIF1A,breast carcinoma
HMOX1,breast carcinoma
HRG,breast carcinoma
HSP90AA1,breast carcinoma
IFNG,breast carcinoma
IGF1,breast carcinoma
IGF1R,breast carcinoma
IGFBP5,breast carcinoma
APRT,breast carcinoma
IL1B,breast carcinoma
IL6,breast carcinoma
CXCL8,breast carcinoma
IL10,breast carcinoma
IDO1,breast carcinoma
AR,breast carcinoma
JUN,breast carcinoma
AREG,breast carcinoma
MALAT1,breast carcinoma
KDR,breast carcinoma
KIT,breast carcinoma
KRT5,breast carcinoma
KRT14,breast carcinoma
STMN1,breast carcinoma
LEP,breast carcinoma
LEPR,breast carcinoma
BCAR4,breast carcinoma
LOXL2,breast carcinoma
MIR10B,breast carcinoma
MIR126,breast carcinoma
MIR141,breast carcinoma
MIR145,breast carcinoma
MIR146A,breast carcinoma
MIR200B,breast carcinoma
MIR200C,breast carcinoma
MIR205,breast carcinoma
MIR206,breast carcinoma
MIR214,breast carcinoma
MIR221,breast carcinoma
MIR222,breast carcinoma
MIR29A,breast carcinoma
MKI67,breast carcinoma
MMP2,breast carcinoma
MMP3,breast carcinoma
MMP9,breast carcinoma
MMP14,breast carcinoma
ABCC1,breast carcinoma
MST1,breast carcinoma
MTHFR,breast carcinoma
MTR,breast carcinoma
NOS3,breast carcinoma
NOTCH3,breast carcinoma
NOTCH4,breast carcinoma
YBX1,breast carcinoma
ROR1,breast carcinoma
PAEP,breast carcinoma
PAK1,breast carcinoma
FOXP3,breast carcinoma
WWOX,breast carcinoma
PGR,breast carcinoma
ABCB1,breast carcinoma
SERPINB5,breast carcinoma
PIK3CB,breast carcinoma
PIN1,breast carcinoma
FBXW7,breast carcinoma
MAP2K7,breast carcinoma
KLK10,breast carcinoma
BAG1,breast carcinoma
PTGS2,breast carcinoma
PTHLH,breast carcinoma
BAX,breast carcinoma
RAF1,breast carcinoma
RARA,breast carcinoma
RARB,breast carcinoma
BCL2,breast carcinoma
RECQL,breast carcinoma
CXCL12,breast carcinoma
SFRP1,breast carcinoma
BMP2,breast carcinoma
SLC2A1,breast carcinoma
BMP4,breast carcinoma
SLC5A5,breast carcinoma
SNAI2,breast carcinoma
SNAI1,breast carcinoma
